word,frequency,Lg10WF
exactly,0.00025356217955267506,4.1006
each,0.0002597770374476363,4.1112
knows,0.0002512492065496959,4.0967
aren,0.00024026761298772556,4.0773
supposed,0.00025875128420283687,4.1094
father,0.0005687701178369237,4.4515
miss,0.0004796904880091457,4.3775
stuff,0.0003148257949185391,4.1946
mine,0.00025744395163593563,4.1072
making,0.00022826026618095574,4.055
least,0.00021311532121362297,4.0252
easy,0.0002725486709858253,4.132
working,0.0002569411314178967,4.1064
anyway,0.0002446522052890251,4.0851
chance,0.00024744788570132156,4.09
play,0.00036365969449448065,4.2572
family,0.0003633781151723788,4.2569
true,0.00025987760149124407,4.1113
gets,0.00022856195831177912,4.0556
comes,0.00023443489845847388,4.0666
check,0.0002861650424903197,4.1532
door,0.0002995802859075985,4.1731
change,0.0002465428093088515,4.0885
means,0.000223976237923264,4.0468
deal,0.00026810374025836107,4.1249
gotta,0.0005199563310697038,4.4125
minutes,0.00028005074863896625,4.1438
five,0.0002928022693684337,4.1631
point,0.00024262081160814777,4.0815
far,0.00022645011339601556,4.0515
business,0.00032926679158061734,4.2141
set,0.00023743170695798594,4.0721
close,0.00022508244240294965,4.0489
times,0.0002256858266645964,4.0501
goes,0.00022287003344357835,4.0446
car,0.0004954991556642899,4.3916
word,0.0002416151711720699,4.0797
son,0.00042134322990790746,4.3212
nobody,0.00027351408580446004,4.1335
rest,0.0002184452155248357,4.0359
sir,0.000989308835395969,4.6919
hurt,0.0002526973287776481,4.0992
everyone,0.00024787025468447427,4.0908
asked,0.00022182416739005735,4.0426
hit,0.00028208214231984353,4.1469
baby,0.00052249054496862,4.4146
bit,0.0002410922381453094,4.0787
yours,0.00020999783586178155,4.0188
hands,0.00024262081160814777,4.0815
crazy,0.00027928646190754705,4.1426
week,0.0002446522052890251,4.0851
break,0.0002267719183355605,4.0522
men,0.0003823646066055291,4.279
couple,0.00022916534257342582,4.0567
either,0.00018721002358025693,3.9689
year,0.0002850789508193556,4.1515
waiting,0.0002165546115050093,4.0321
beautiful,0.0002869293292217389,4.1543
